time,lead_I
9989.3,-1633.4566857142822
9991.3,-2043.3208571428527
9993.3,-2448.185028571423
9995.3,-2842.7634857142793
9997.3,-2811.6206285714225
9999.3,-2804.6206285714225
10001.28,-2816.9063428571367
10003.25,-2821.9063428571367
10005.22,-2799.4777714285647
10007.2,-2766.049199999993
10009.2,-2757.334914285708
10011.2,-2773.3349142857082
10013.2,-2774.6206285714225
10015.2,-2738.9063428571367
10017.2,-2689.9063428571367
10019.2,-2660.4777714285656
10021.2,-2654.6206285714225
10023.2,-2650.3349142857082
10025.2,-2625.192057142851
10027.2,-2578.049199999994
10029.2,-2532.3349142857082
10031.2,-2508.477771428565
10033.2,-2494.906342857137
10035.2,-2456.049199999994
10037.2,-2375.76348571428
10039.2,-2287.9063428571367
10041.2,-2245.192057142851
10043.2,-2252.049199999994
10045.2,-2257.6206285714225
10047.2,-2232.192057142851
10049.2,-2214.3349142857082
10051.2,-2255.192057142851
10053.2,-2342.4777714285656
10055.2,-2413.4777714285656
10057.2,-2435.3349142857082
10059.2,-2444.3349142857082
10061.2,-2491.3349142857082
10063.2,-2566.76348571428
10065.2,-2610.6206285714225
10067.2,-2595.192057142851
10069.2,-2558.334914285708
10071.2,-2544.477771428565
10073.2,-2551.6206285714225
10075.2,-2550.7634857142793
10077.2,-2530.192057142851
10079.2,-2506.6206285714225
10081.17,-2506.049199999994
10083.15,-2538.3349142857082
10085.13,-2585.6206285714225
10087.1,-2616.049199999994
10089.1,-2613.7634857142793
10091.1,-2594.4777714285656
10093.1,-2588.620628571422
10095.1,-2606.192057142851
10097.1,-2619.906342857137
10099.1,-2599.7634857142793
10101.1,-2561.477771428565
10103.1,-2554.049199999994
10105.1,-2594.4777714285656
10107.1,-2644.3349142857087
10109.1,-2660.192057142851
10111.1,-2647.9063428571367
10113.1,-2650.9063428571367
10115.1,-2692.6206285714225
10117.1,-2744.3349142857082
10119.1,-2760.620628571422
10121.1,-2733.9063428571367
10123.1,-2690.6206285714225
10125.1,-2637.192057142851
10127.1,-2536.334914285708
10129.1,-2341.049199999994
10131.1,-2039.7634857142796
10133.1,-1666.334914285708
10135.1,-1269.192057142851
10137.1,-873.192057142851
10139.1,-479.1920571428511
10141.1,-105.90634285713693
10143.1,182.37937142857737
10145.1,308.8079428571488
10147.1,245.6650857142917
10149.1,31.950800000005927
10151.1,-277.04919999999396
10153.1,-663.9063428571369
10155.1,-1129.049199999994
10157.1,-1623.4777714285653
10159.1,-2046.049199999994
10161.08,-2326.7634857142793
10163.05,-2480.334914285708
10165.03,-2558.6206285714225
10167.0,-2587.049199999994
10169.0,-2564.192057142851
10171.0,-2493.9063428571367
10173.0,-2397.7634857142793
10175.0,-2312.049199999994
10177.0,-2270.6206285714225
10179.0,-2269.192057142851
10181.0,-2261.6206285714225
10183.0,-2222.049199999994
10185.0,-2187.192057142851
10187.0,-2202.477771428565
10189.0,-2249.9063428571367
10191.0,-2269.7634857142793
10193.0,-2244.192057142851
10195.0,-2214.6206285714225
10197.0,-2216.3349142857082
10199.0,-2236.6206285714225
10201.0,-2245.9063428571367
10203.0,-2235.3349142857082
10205.0,-2217.7634857142793
10207.0,-2210.9063428571367
10209.0,-2222.049199999994
10211.0,-2235.477771428565
10213.0,-2224.76348571428
10215.0,-2188.3349142857082
10217.0,-2157.76348571428
10219.0,-2159.1920571428514
10221.0,-2183.906342857137
10223.0,-2202.192057142851
10225.0,-2195.76348571428
10227.0,-2177.477771428565
10229.0,-2176.477771428565
10231.0,-2197.9063428571367
10233.0,-2207.192057142851
10235.0,-2169.9063428571367
10237.0,-2097.192057142851
10239.0,-2036.0491999999938
10240.97,-2015.3349142857082
10242.95,-2014.0491999999938
10244.92,-1989.192057142851
10246.9,-1935.7634857142796
10248.9,-1899.7634857142796
10250.9,-1916.049199999994
10252.9,-1952.7634857142796
10254.9,-1949.9063428571367
10256.9,-1901.7634857142798
10258.9,-1860.3349142857082
10260.9,-1859.7634857142796
10262.9,-1879.192057142851
10264.9,-1880.192057142851
10266.9,-1849.049199999994
10268.9,-1806.6206285714222
10270.9,-1789.7634857142793
10272.9,-1805.4777714285651
10274.9,-1812.3349142857082
10276.9,-1780.1920571428511
10278.9,-1742.6206285714225
10280.9,-1743.049199999994
10282.9,-1769.3349142857082
10284.9,-1786.906342857137
10286.9,-1789.906342857137
10288.9,-1780.9063428571367
10290.9,-1750.4777714285653
10292.9,-1707.6206285714225
10294.9,-1685.3349142857082
10296.9,-1688.7634857142798
10298.9,-1680.1920571428511
10300.9,-1641.3349142857082
10302.9,-1609.9063428571367
10304.9,-1616.049199999994
10306.9,-1629.6206285714225
10308.9,-1613.906342857137
10310.9,-1579.6206285714225
10312.9,-1547.4777714285653
10314.9,-1516.0491999999938
10316.9,-1487.7634857142793
10318.9,-1468.4777714285653
10320.88,-1440.6206285714227
10322.85,-1393.4777714285656
10324.83,-1358.7634857142796
10326.8,-1362.6206285714225
10328.8,-1377.3349142857082
10330.8,-1363.049199999994
10332.8,-1325.4777714285653
10334.8,-1297.3349142857082
10336.8,-1288.9063428571367
10338.8,-1279.7634857142796
10340.8,-1247.6206285714225
10342.8,-1189.4777714285653
10344.8,-1124.1920571428511
10346.8,-1077.9063428571367
10348.8,-1057.906342857137
10350.8,-1040.9063428571367
10352.8,-1002.1920571428511
10354.8,-950.1920571428511
10356.8,-917.049199999994
10358.8,-916.3349142857082
10360.8,-926.3349142857082
10362.8,-915.4777714285655
10364.8,-879.1920571428511
10366.8,-846.4777714285655
10368.8,-845.9063428571369
10370.8,-867.0491999999941
10372.8,-872.9063428571369
10374.8,-849.6206285714226
10376.8,-827.3349142857082
10378.8,-840.049199999994
10380.8,-879.1920571428511
10382.8,-901.3349142857082
10384.8,-885.3349142857082
10386.8,-860.9063428571368
10388.8,-868.3349142857082
10390.8,-903.049199999994
10392.8,-927.1920571428511
10394.8,-921.4777714285653
10396.8,-903.4777714285655
10398.8,-900.3349142857082
10400.78,-922.049199999994
10402.75,-954.7634857142797
10404.72,-974.192057142851
10406.7,-973.6206285714225
10408.7,-975.7634857142796
10410.7,-1007.4777714285653
10412.7,-1065.192057142851
10414.7,-1113.3349142857082
10416.7,-1122.4777714285653
10418.7,-1109.7634857142796
10420.7,-1123.049199999994
10422.7,-1175.7634857142798
10424.7,-1224.4777714285653
10426.7,-1231.4777714285656
10428.7,-1220.0491999999942
10430.7,-1238.1920571428511
10432.7,-1293.3349142857082
10434.7,-1346.3349142857082
10436.7,-1363.6206285714225
10438.7,-1358.4777714285653
10440.7,-1374.906342857137
10442.7,-1430.906342857137
10444.7,-1494.3349142857082
10446.7,-1522.4777714285653
10448.7,-1511.4777714285653
10450.7,-1491.7634857142796
10452.7,-1487.0491999999938
10454.7,-1489.6206285714225
10456.7,-1472.1920571428511
10458.7,-1423.4777714285653
10460.7,-1370.906342857137
10462.7,-1352.4777714285653
10464.7,-1369.0491999999938
10466.7,-1383.7634857142796
10468.7,-1369.6206285714225
10470.7,-1338.9063428571367
10472.7,-1323.906342857137
10474.7,-1338.049199999994
10476.7,-1360.0491999999938
10478.7,-1356.4777714285651
10480.67,-1324.9063428571367
10482.65,-1304.049199999994
10484.63,-1326.3349142857082
10486.6,-1370.6206285714225
10488.6,-1383.6206285714227
10490.6,-1350.3349142857082
10492.6,-1317.4777714285656
10494.6,-1328.334914285708
10496.6,-1360.4777714285656
10498.6,-1362.1920571428511
10500.6,-1332.7634857142798
10502.6,-1323.334914285708
10504.6,-1360.0491999999938
10506.6,-1409.3349142857082
10508.6,-1429.6206285714225
10510.6,-1419.7634857142796
10512.6,-1405.7634857142798
10514.6,-1404.4777714285653
10516.6,-1411.1920571428511
10518.6,-1408.6206285714225
10520.6,-1387.192057142851
10522.6,-1359.9063428571367
10524.6,-1351.3349142857082
10526.6,-1366.906342857137
10528.6,-1384.9063428571367
10530.6,-1379.6206285714225
10532.6,-1352.6206285714225
10534.6,-1334.4777714285653
10536.6,-1347.6206285714225
10538.6,-1374.7634857142793
10540.6,-1383.7634857142793
10542.6,-1372.1920571428511
10544.6,-1366.0491999999942
10546.6,-1380.3349142857082
10548.6,-1401.906342857137
10550.6,-1405.7634857142796
10552.6,-1378.6206285714225
10554.6,-1338.049199999994
10556.6,-1324.1920571428511
10558.6,-1350.6206285714225
10560.58,-1375.1920571428511
10562.55,-1350.049199999994
10564.53,-1291.4777714285656
10566.5,-1261.334914285708
10568.5,-1279.0491999999938
10570.5,-1292.1920571428511
10572.5,-1254.049199999994
10574.5,-1196.192057142851
10576.5,-1186.7634857142796
10578.5,-1235.6206285714225
10580.5,-1286.7634857142796
10582.5,-1298.1920571428511
10584.5,-1286.4777714285653
10586.5,-1287.4777714285653
10588.5,-1308.7634857142798
10590.5,-1329.7634857142793
10592.5,-1327.7634857142796
10594.5,-1300.9063428571367
10596.5,-1273.3349142857082
10598.5,-1270.906342857137
10600.5,-1292.4777714285656
10602.5,-1313.334914285708
10604.5,-1317.3349142857082
10606.5,-1316.906342857137
10608.5,-1336.049199999994
10610.5,-1375.6206285714227
10612.5,-1405.4777714285653
10614.5,-1398.1920571428511
10616.5,-1363.6206285714227
10618.5,-1338.9063428571367
10620.5,-1345.192057142851
10622.5,-1365.3349142857085
10624.5,-1366.3349142857085
10626.5,-1341.4777714285653
10628.5,-1322.906342857137
10630.5,-1341.3349142857082
10632.5,-1376.6206285714227
10634.5,-1376.4777714285653
10636.5,-1330.0491999999938
10638.5,-1290.6206285714225
10640.47,-1305.192057142851
10642.45,-1350.1920571428511
10644.42,-1365.1920571428511
10646.4,-1333.049199999994
10648.4,-1295.1920571428511
10650.4,-1289.049199999994
10652.4,-1298.7634857142796
10654.4,-1283.6206285714225
10656.4,-1236.9063428571367
10658.4,-1192.9063428571367
10660.4,-1182.3349142857082
10662.4,-1200.049199999994
10664.4,-1212.1920571428511
10666.4,-1187.1920571428511
10668.4,-1126.1920571428511
10670.4,-1066.049199999994
10672.4,-1037.3349142857082
10674.4,-1026.049199999994
10676.4,-995.7634857142797
10678.4,-942.6206285714226
10680.4,-903.0491999999939
10682.4,-907.7634857142796
10684.4,-941.1920571428511
10686.4,-959.9063428571367
10688.4,-948.1920571428509
10690.4,-940.4777714285653
10692.4,-973.4777714285653
10694.4,-1031.3349142857082
10696.4,-1064.6206285714225
10698.4,-1056.6206285714225
10700.4,-1039.7634857142796
10702.4,-1047.3349142857082
10704.4,-1075.3349142857082
10706.4,-1095.6206285714225
10708.4,-1091.4777714285653
10710.4,-1076.6206285714225
10712.4,-1081.1920571428511
10714.4,-1115.906342857137
10716.4,-1158.7634857142798
10718.4,-1184.1920571428511
10720.38,-1195.906342857137
10722.35,-1219.1920571428514
10724.33,-1263.6206285714227
10726.3,-1306.6206285714225
10728.3,-1319.3349142857082
10730.3,-1300.4777714285656
10732.3,-1274.7634857142798
10734.3,-1265.7634857142796
10736.3,-1276.4777714285653
10738.3,-1290.192057142851
10740.3,-1291.4777714285653
10742.3,-1292.6206285714227
10744.3,-1325.7634857142796
10746.3,-1397.1920571428511
10748.3,-1470.049199999994
10750.3,-1507.192057142851
10752.3,-1516.3349142857082
10754.3,-1534.1920571428511
10756.3,-1570.6206285714225
10758.3,-1580.9063428571367
10760.3,-1504.6206285714225
10762.3,-1326.049199999994
10764.3,-1083.7634857142796
10766.3,-817.4777714285655
10768.3,-520.9063428571369
10770.3,-161.0491999999941
10772.3,255.95080000000598
10774.3,663.5222285714345
10776.3,986.5222285714345
10778.3,1192.2365142857202
10780.3,1282.2365142857202
10782.3,1258.379371428577
10784.3,1103.093657142863
10786.3,788.3793714285772
10788.3,326.8079428571487
10790.3,-186.62062857142251
10792.3,-639.3349142857082
10794.3,-994.4777714285653
10796.3,-1262.9063428571367
10798.3,-1426.906342857137
10800.28,-1467.3349142857082
10802.25,-1418.6206285714225
10804.22,-1333.7634857142796
10806.2,-1236.0491999999938
10808.2,-1145.1920571428511
10810.2,-1096.6206285714225
10812.2,-1102.4777714285653
10814.2,-1125.6206285714225
10816.2,-1126.049199999994
10818.2,-1111.1920571428511
10820.2,-1112.7634857142798
10822.2,-1131.1920571428511
10824.2,-1142.049199999994
